sku,category,date_key,carried,forecast_demand,current_price,recommended_price,price_change_pct,margin_uplift_monthly_eur,margin_uplift_annual_eur,order_up_to,safety_stock,reorder_point,expected_shortage_units,annual_margin_eur,capital_at_cost_eur,promo_category,promo_allocation_eur
S0051,chemicals,20260701,1,9.63,5.55,6.38,15.0,1.37,16.44,24.7,12.5,14.9,0.13,367.49,67.47,chemicals,2507.1
S0052,fasteners,20260701,0,178.57,0.99,,,,,,,,,1366.51,176.07,,
S0053,chemicals,20260701,0,64.76,5.24,,,,,,,,,2305.88,329.62,,
S0054,ppe,20260701,0,30.67,5.42,,,,,,,,,999.97,197.51,,
S0055,fasteners,20260701,0,67.94,1.89,,,,,,,,,627.4,214.34,,
S0056,power tools,20260701,0,5.45,208.95,,,,,,,,,5062.01,1900.95,,
S0057,ppe,20260701,1,4.13,3.75,4.31,15.0,0.3,3.6,12.1,6.4,7.4,0.07,61.92,25.76,ppe,1187.64
S0058,chemicals,20260701,0,25.31,10.0,,,,,,,,,2268.67,326.47,,
S0059,fasteners,20260701,0,75.35,1.08,,,,,,,,,399.9,93.33,,
S0060,abrasives,20260701,0,34.74,0.71,,,,,,,,,154.13,21.64,,
S0061,hand tools,20260701,0,170.82,21.87,,,,,,,,,19175.11,5955.08,,
S0062,plumbing,20260701,0,4.16,17.29,,,,,,,,,499.82,99.46,,
S0063,electrical,20260701,0,30.72,7.66,,,,,,,,,1241.86,340.99,,
S0064,fasteners,20260701,0,25.79,0.57,,,,,,,,,90.97,20.21,,
S0065,chemicals,20260701,1,5.04,6.5,7.47,15.0,0.96,11.52,8.9,2.8,5.3,0.02,175.39,17.96,chemicals,2507.1
S0066,plumbing,20260701,0,164.42,6.91,,,,,,,,,5717.09,1412.45,,
S0067,fasteners,20260701,0,33.95,1.2,,,,,,,,,322.52,76.51,,
S0068,chemicals,20260701,0,33.58,12.21,,,,,,,,,2016.0,726.94,,
S0069,plumbing,20260701,0,4.11,18.73,,,,,,,,,412.8,65.02,,
S0070,hand tools,20260701,0,210.48,48.88,,,,,,,,,40176.86,18375.63,,
S0071,fasteners,20260701,0,94.77,1.68,,,,,,,,,894.22,130.92,,
S0072,fasteners,20260701,0,109.04,0.79,,,,,,,,,412.27,153.26,,
S0073,power tools,20260701,0,20.37,223.72,,,,,,,,,17862.53,7554.35,,
S0074,fasteners,20260701,0,19.72,1.66,,,,,,,,,166.16,32.85,,
S0075,hand tools,20260701,0,109.57,17.82,,,,,,,,,11607.94,3141.89,,
S0076,ppe,20260701,0,3.75,3.37,,,,,,,,,79.46,21.0,,
S0077,abrasives,20260701,0,6.85,1.18,,,,,,,,,57.53,19.44,,
S0078,chemicals,20260701,0,29.84,7.54,,,,,,,,,1712.52,132.29,,
S0079,plumbing,20260701,0,3.55,8.74,,,,,,,,,146.03,19.24,,
S0080,hand tools,20260701,0,9.1,32.71,,,,,,,,,1443.36,467.66,,
S0081,fasteners,20260701,0,200.44,1.89,,,,,,,,,2579.52,759.26,,
S0082,fasteners,20260701,0,20.66,1.22,,,,,,,,,153.82,20.92,,
S0083,fasteners,20260701,0,6.88,1.99,,,,,,,,,73.0,12.21,,
S0084,plumbing,20260701,0,13.87,22.9,,,,,,,,,2929.5,654.51,,
S0085,plumbing,20260701,0,47.89,17.34,,,,,,,,,5856.48,1567.93,,
S0086,hand tools,20260701,0,28.0,25.2,,,,,,,,,3226.99,1369.92,,
S0087,fasteners,20260701,0,11.8,1.01,,,,,,,,,98.14,29.24,,
S0088,abrasives,20260701,1,22.43,1.82,1.55,-15.0,1.43,17.16,41.1,21.4,35.6,0.07,309.04,31.69,abrasives,2381.5
S0089,fasteners,20260701,0,27.0,1.83,,,,,,,,,318.29,92.65,,
S0090,power tools,20260701,1,12.88,287.09,330.15,15.0,218.33,2619.96,16.9,10.5,26.8,0.07,17953.14,4072.64,power tools,12748.35
S0091,fasteners,20260701,0,20.13,0.96,,,,,,,,,109.9,45.82,,
S0092,abrasives,20260701,0,95.87,0.88,,,,,,,,,612.86,47.54,,
S0093,hand tools,20260701,1,34.07,38.25,43.99,15.0,44.91,538.92,62.5,41.1,82.0,0.17,7400.57,1498.08,hand tools,7502.13
S0094,electrical,20260701,0,8.64,12.4,,,,,,,,,705.02,161.71,,
S0095,ppe,20260701,0,5.28,6.92,,,,,,,,,169.62,47.06,,
S0096,electrical,20260701,0,23.95,5.7,,,,,,,,,467.86,197.53,,
S0097,ppe,20260701,0,59.7,4.94,,,,,,,,,1488.2,280.14,,
S0098,fasteners,20260701,0,55.32,1.84,,,,,,,,,577.37,223.86,,
S0099,abrasives,20260701,0,107.66,0.71,,,,,,,,,360.29,135.11,,
S0100,fasteners,20260701,0,39.19,2.12,,,,,,,,,611.52,91.14,,
S0101,abrasives,20260701,0,35.89,2.42,,,,,,,,,528.77,114.4,,
S0102,ppe,20260701,0,18.92,7.65,,,,,,,,,1074.84,222.15,,
S0103,fasteners,20260701,0,3.35,2.02,,,,,,,,,31.1,9.18,,
S0104,ppe,20260701,0,1.8,3.72,,,,,,,,,34.13,10.91,,
S0105,abrasives,20260701,0,766.35,1.92,,,,,,,,,8296.92,1379.75,,
S0106,fasteners,20260701,1,3.41,1.52,1.75,15.0,0.32,3.84,4.5,0.9,2.6,0.01,25.54,2.02,fasteners,0.0
S0107,abrasives,20260701,0,30.04,1.38,,,,,,,,,319.79,44.91,,
S0108,fasteners,20260701,1,5.56,0.7,0.8,15.0,0.16,1.92,9.6,6.2,14.5,0.01,29.38,3.1,fasteners,0.0
S0109,abrasives,20260701,0,71.64,1.09,,,,,,,,,512.68,73.58,,
S0110,ppe,20260701,0,150.61,5.89,,,,,,,,,4575.23,1139.91,,
S0111,fasteners,20260701,0,3.68,2.11,,,,,,,,,47.88,8.7,,
S0112,power tools,20260701,0,20.73,127.0,,,,,,,,,13221.43,3521.18,,
S0113,fasteners,20260701,0,35.18,0.91,,,,,,,,,194.18,69.91,,
S0114,chemicals,20260701,0,20.96,5.53,,,,,,,,,763.99,126.8,,
S0115,ppe,20260701,0,13.41,4.84,,,,,,,,,589.25,215.81,,
S0116,ppe,20260701,0,27.78,5.14,,,,,,,,,959.09,142.45,,
S0117,ppe,20260701,0,58.1,4.72,,,,,,,,,1554.05,274.11,,
S0118,electrical,20260701,1,8.76,4.52,5.2,15.0,2.7,32.4,26.2,16.8,24.4,0.14,212.54,63.83,electrical,6255.72
S0119,abrasives,20260701,0,179.83,1.32,,,,,,,,,1439.36,261.84,,
S0120,ppe,20260701,0,19.22,3.45,,,,,,,,,408.67,57.2,,
S0121,fasteners,20260701,1,2.52,1.17,1.35,15.0,0.15,1.8,5.0,3.0,6.7,0.01,14.4,2.61,fasteners,0.0
S0122,fasteners,20260701,0,15.62,1.92,,,,,,,,,140.4,46.71,,
S0123,abrasives,20260701,0,6.21,0.89,,,,,,,,,38.64,7.32,,
S0124,abrasives,20260701,0,66.9,2.32,,,,,,,,,869.09,269.53,,
S0125,chemicals,20260701,1,4.29,9.6,11.04,15.0,0.84,10.08,14.8,12.5,15.7,0.05,259.49,75.16,chemicals,2507.1
S0126,power tools,20260701,1,4.24,278.12,319.84,15.0,56.65,679.8,5.6,1.2,3.2,0.01,5798.21,500.5,power tools,12748.35
S0127,chemicals,20260701,0,35.77,7.87,,,,,,,,,1645.25,113.03,,
S0128,electrical,20260701,0,28.11,10.62,,,,,,,,,2041.8,396.75,,
S0129,power tools,20260701,0,8.35,187.37,,,,,,,,,7512.71,4085.11,,
S0130,fasteners,20260701,0,29.48,1.14,,,,,,,,,259.2,33.67,,
S0131,fasteners,20260701,0,28.72,0.66,,,,,,,,,89.86,23.09,,
S0132,electrical,20260701,0,16.79,9.68,,,,,,,,,819.0,149.97,,
S0133,electrical,20260701,0,15.62,11.92,,,,,,,,,978.43,249.41,,
S0134,chemicals,20260701,0,8.83,6.95,,,,,,,,,446.4,47.97,,
S0135,fasteners,20260701,0,2.24,1.5,,,,,,,,,19.12,2.31,,
S0136,hand tools,20260701,0,18.11,33.13,,,,,,,,,2836.9,1339.94,,
S0137,abrasives,20260701,0,332.67,1.89,,,,,,,,,2583.26,742.35,,
S0138,electrical,20260701,0,229.28,5.19,,,,,,,,,7059.62,908.45,,
S0139,electrical,20260701,0,31.9,5.05,,,,,,,,,777.36,249.0,,
S0140,fasteners,20260701,0,9.62,0.58,,,,,,,,,27.22,5.13,,
S0141,abrasives,20260701,0,9.02,1.27,,,,,,,,,88.87,39.24,,
S0142,hand tools,20260701,0,17.46,21.81,,,,,,,,,1874.5,605.32,,
S0143,plumbing,20260701,0,10.05,15.03,,,,,,,,,1086.91,228.86,,
S0144,chemicals,20260701,0,4.53,13.39,,,,,,,,,364.42,46.56,,
S0145,fasteners,20260701,0,9.63,1.83,,,,,,,,,72.42,26.03,,
S0146,abrasives,20260701,0,117.83,1.34,,,,,,,,,983.57,225.04,,
S0147,fasteners,20260701,0,14.51,1.92,,,,,,,,,167.08,31.89,,
S0148,ppe,20260701,0,24.31,4.41,,,,,,,,,788.45,231.19,,
S0149,fasteners,20260701,0,19.34,1.43,,,,,,,,,181.48,30.49,,
S0150,chemicals,20260701,0,8.24,9.13,,,,,,,,,532.8,101.38,,
S0151,plumbing,20260701,0,48.01,20.25,,,,,,,,,5858.1,1257.74,,
S0152,fasteners,20260701,0,19.48,1.52,,,,,,,,,233.51,67.95,,
S0153,power tools,20260701,1,5.74,184.68,212.38,15.0,61.09,733.08,9.4,8.5,19.8,0.03,4669.96,1420.7,power tools,12748.35
S0154,abrasives,20260701,0,27.18,1.14,,,,,,,,,276.83,58.27,,
S0155,fasteners,20260701,0,5.06,1.08,,,,,,,,,41.16,8.38,,
S0156,fasteners,20260701,0,4.68,1.22,,,,,,,,,30.91,6.54,,
S0157,ppe,20260701,0,190.45,2.29,,,,,,,,,1941.26,930.82,,
S0158,electrical,20260701,0,35.69,4.87,,,,,,,,,1076.7,364.14,,
S0159,hand tools,20260701,1,13.31,14.1,16.21,15.0,9.97,119.64,29.1,27.1,37.1,0.23,729.0,329.8,hand tools,7502.13
S0160,power tools,20260701,0,7.26,136.88,,,,,,,,,4001.65,1575.08,,
S0161,electrical,20260701,0,33.81,11.51,,,,,,,,,2068.63,331.36,,
S0162,electrical,20260701,0,29.98,12.17,,,,,,,,,2223.1,513.58,,
S0163,ppe,20260701,0,49.68,7.12,,,,,,,,,1850.14,636.2,,
S0164,fasteners,20260701,0,81.43,1.08,,,,,,,,,491.52,145.13,,
S0165,fasteners,20260701,0,736.32,1.54,,,,,,,,,6682.2,713.5,,
S0166,hand tools,20260701,0,24.61,25.77,,,,,,,,,3303.72,779.56,,
S0167,fasteners,20260701,0,14.18,0.86,,,,,,,,,85.92,20.26,,
S0168,hand tools,20260701,0,21.88,35.39,,,,,,,,,4625.28,1192.08,,
S0169,ppe,20260701,0,9.27,3.39,,,,,,,,,133.06,34.05,,
S0170,electrical,20260701,0,29.66,7.48,,,,,,,,,1147.74,306.5,,
S0171,fasteners,20260701,0,5.41,1.79,,,,,,,,,67.31,7.61,,
S0172,hand tools,20260701,0,40.42,30.7,,,,,,,,,7953.55,3124.96,,
S0173,fasteners,20260701,0,3.3,1.52,,,,,,,,,22.03,3.11,,
S0174,fasteners,20260701,0,17.29,1.24,,,,,,,,,119.57,12.88,,
S0175,abrasives,20260701,0,11.4,1.58,,,,,,,,,102.24,36.78,,
S0176,chemicals,20260701,0,31.68,9.56,,,,,,,,,2322.94,528.26,,
S0177,chemicals,20260701,0,58.0,6.47,,,,,,,,,3023.74,485.69,,
S0178,abrasives,20260701,0,16.63,1.73,,,,,,,,,195.37,36.5,,
S0179,plumbing,20260701,0,115.51,9.82,,,,,,,,,6545.88,1952.73,,
S0180,chemicals,20260701,0,8.16,5.63,,,,,,,,,310.52,49.52,,
S0181,power tools,20260701,0,55.77,97.76,,,,,,,,,24456.52,8431.65,,
S0182,abrasives,20260701,0,9.26,1.49,,,,,,,,,88.7,15.79,,
S0183,fasteners,20260701,0,123.64,1.64,,,,,,,,,1054.44,226.99,,
S0184,chemicals,20260701,0,13.18,12.01,,,,,,,,,1145.66,224.25,,
S0185,hand tools,20260701,0,126.64,38.74,,,,,,,,,20002.18,10617.01,,
S0186,plumbing,20260701,1,12.17,9.39,10.8,15.0,4.36,52.32,19.9,5.8,11.8,0.06,697.2,66.82,plumbing,7417.55
S0187,ppe,20260701,0,20.16,2.44,,,,,,,,,202.8,62.21,,
S0188,chemicals,20260701,0,3.64,10.45,,,,,,,,,230.65,55.38,,
S0189,ppe,20260701,1,5.78,4.78,5.08,6.36,0.07,0.84,9.5,7.6,16.2,0.03,153.41,32.74,ppe,1187.64
S0190,power tools,20260701,0,26.29,245.68,,,,,,,,,32626.99,16269.16,,
S0191,fasteners,20260701,0,67.35,2.0,,,,,,,,,784.32,185.19,,
S0192,plumbing,20260701,0,27.97,12.1,,,,,,,,,2298.96,223.42,,
S0193,power tools,20260701,0,17.0,238.34,,,,,,,,,12766.25,5634.4,,
S0194,chemicals,20260701,0,38.71,10.15,,,,,,,,,2298.24,311.48,,
S0195,fasteners,20260701,0,25.42,1.38,,,,,,,,,232.7,37.99,,
S0196,chemicals,20260701,0,177.04,5.73,,,,,,,,,7140.67,1234.37,,
S0197,ppe,20260701,0,29.34,3.83,,,,,,,,,587.88,73.73,,
S0198,ppe,20260701,0,6.31,2.66,,,,,,,,,75.6,18.76,,
S0199,fasteners,20260701,0,70.08,1.99,,,,,,,,,877.48,221.62,,
S0200,fasteners,20260701,0,45.25,1.35,,,,,,,,,345.17,93.02,,
S0201,electrical,20260701,0,15.3,9.81,,,,,,,,,930.18,96.59,,
S0202,plumbing,20260701,1,25.42,21.83,25.1,15.0,12.39,148.68,77.2,30.4,42.4,0.18,2655.9,577.22,plumbing,7417.55
S0203,ppe,20260701,0,49.89,6.37,,,,,,,,,1966.56,345.3,,
S0204,ppe,20260701,0,46.7,6.23,,,,,,,,,1605.89,182.1,,
S0205,abrasives,20260701,0,60.34,1.38,,,,,,,,,510.86,125.27,,
S0206,chemicals,20260701,0,104.23,6.02,,,,,,,,,4270.07,504.53,,
S0207,electrical,20260701,0,12.76,11.47,,,,,,,,,960.3,351.61,,
S0208,power tools,20260701,0,35.64,141.03,,,,,,,,,18470.88,11485.21,,
S0209,hand tools,20260701,0,19.63,27.45,,,,,,,,,2761.1,1103.9,,
S0210,plumbing,20260701,0,53.94,11.12,,,,,,,,,3255.84,937.93,,
S0211,fasteners,20260701,0,10.15,2.1,,,,,,,,,162.94,25.45,,
S0212,hand tools,20260701,0,7.9,52.5,,,,,,,,,2518.46,524.07,,
S0213,fasteners,20260701,0,17.9,2.03,,,,,,,,,262.73,30.22,,
S0214,plumbing,20260701,0,36.47,12.56,,,,,,,,,1887.84,568.59,,
S0215,abrasives,20260701,0,33.85,2.06,,,,,,,,,498.43,76.89,,
S0216,ppe,20260701,0,46.23,4.26,,,,,,,,,877.4,235.0,,
S0217,ppe,20260701,1,1.75,4.31,4.59,6.57,0.02,0.24,5.3,3.0,4.8,0.02,32.45,9.96,ppe,1187.64
S0218,chemicals,20260701,0,84.94,14.46,,,,,,,,,7685.5,1508.47,,
S0219,fasteners,20260701,0,15.39,1.36,,,,,,,,,151.2,47.64,,
S0220,ppe,20260701,0,62.71,3.47,,,,,,,,,1534.46,139.32,,
S0221,plumbing,20260701,0,12.58,12.04,,,,,,,,,900.53,212.04,,
S0222,abrasives,20260701,0,229.12,1.03,,,,,,,,,1290.43,247.05,,
S0223,chemicals,20260701,0,58.65,9.4,,,,,,,,,4091.98,760.37,,
S0224,fasteners,20260701,0,2.64,1.79,,,,,,,,,29.88,5.03,,
S0225,power tools,20260701,0,95.9,92.01,,,,,,,,,46792.87,18535.54,,
S0226,abrasives,20260701,0,91.64,1.48,,,,,,,,,768.53,99.65,,
S0227,fasteners,20260701,0,34.76,0.87,,,,,,,,,165.02,47.84,,
S0228,hand tools,20260701,0,24.25,38.54,,,,,,,,,4639.28,949.11,,
S0229,plumbing,20260701,0,51.77,9.14,,,,,,,,,3368.86,305.65,,
S0230,ppe,20260701,0,3.35,7.0,,,,,,,,,124.48,46.06,,
S0231,ppe,20260701,0,87.16,6.11,,,,,,,,,2651.18,829.96,,
S0232,abrasives,20260701,0,1.63,1.09,,,,,,,,,13.8,3.37,,
S0233,abrasives,20260701,0,28.68,1.15,,,,,,,,,234.55,24.48,,
S0234,abrasives,20260701,1,22.73,2.14,2.04,-4.61,0.09,1.08,64.4,39.3,59.0,0.21,288.29,64.31,abrasives,2381.5
S0235,electrical,20260701,0,16.11,8.08,,,,,,,,,719.28,162.13,,
S0236,electrical,20260701,0,29.23,11.24,,,,,,,,,1980.38,336.1,,
S0237,abrasives,20260701,1,4.99,0.92,0.94,2.14,0.0,0.0,8.0,2.1,4.6,0.02,26.11,2.44,abrasives,2381.5
S0238,abrasives,20260701,0,8.26,0.99,,,,,,,,,58.16,19.66,,
S0239,chemicals,20260701,0,96.31,11.88,,,,,,,,,8702.64,949.44,,
S0240,power tools,20260701,1,81.38,150.2,172.73,15.0,548.8,6585.6,200.8,120.8,191.0,1.05,55282.07,16037.95,power tools,12748.35
