sku,category,unit_cost_eur,lead_time_months,moq,shelf_m3_per_unit,elasticity_true,annual_holding_rate
S0052,fasteners,0.5,1.0,5,0.039,-1.67,0.181
S0053,chemicals,2.41,2.0,1,0.0025,-1.6,0.238
S0054,ppe,3.45,2.0,10,0.0214,-1.56,0.3
S0055,fasteners,1.12,1.5,1,0.0017,-1.79,0.257
S0056,power tools,136.22,1.0,1,0.0488,-1.46,0.186
S0057,ppe,2.55,0.5,50,0.0029,-1.59,0.194
S0058,chemicals,5.52,0.5,10,0.0238,-1.64,0.254
S0059,fasteners,0.65,0.5,1,0.0462,-2.05,0.266
S0060,abrasives,0.45,1.0,10,0.0151,-1.47,0.275
S0061,hand tools,15.05,1.0,10,0.0112,-1.46,0.241
S0062,plumbing,9.28,1.0,10,0.0282,-1.32,0.286
S0063,electrical,4.3,1.5,25,0.0374,-1.86,0.278
S0064,fasteners,0.36,0.5,1,0.031,-2.35,0.187
S0065,chemicals,3.89,0.5,1,0.0357,-1.64,0.188
S0066,plumbing,3.79,2.0,50,0.0251,-1.59,0.18
S0067,fasteners,0.69,2.0,5,0.0041,-1.71,0.299
S0068,chemicals,7.41,1.0,1,0.007,-1.29,0.291
S0069,plumbing,11.85,1.0,1,0.0473,-1.22,0.219
S0070,hand tools,32.5,1.5,1,0.0289,-1.43,0.205
S0071,fasteners,0.94,2.0,1,0.0411,-1.5,0.287
S0072,fasteners,0.51,1.0,1,0.0058,-1.57,0.205
S0073,power tools,165.8,0.5,1,0.0224,-1.26,0.222
S0074,fasteners,1.05,1.5,25,0.0138,-1.36,0.214
S0075,hand tools,10.94,1.0,10,0.0447,-1.19,0.231
S0076,ppe,1.83,2.0,5,0.0295,-1.97,0.284
S0077,abrasives,0.71,2.0,5,0.038,-1.46,0.254
S0078,chemicals,3.52,1.0,50,0.0156,-1.78,0.193
S0079,plumbing,5.91,1.0,10,0.0354,-1.32,0.258
S0080,hand tools,23.01,1.0,1,0.0448,-1.47,0.228
S0081,fasteners,1.09,1.0,10,0.0418,-1.4,0.193
S0082,fasteners,0.64,0.5,5,0.0266,-1.95,0.294
S0083,fasteners,1.2,0.5,10,0.0318,-1.66,0.25
S0084,plumbing,12.05,0.5,50,0.0105,-1.28,0.266
S0085,plumbing,9.99,1.0,10,0.0347,-1.06,0.261
S0086,hand tools,16.69,1.0,10,0.0038,-1.14,0.289
S0087,fasteners,0.54,2.0,50,0.0308,-1.54,0.26
S0088,abrasives,0.91,1.0,25,0.0039,-1.78,0.197
S0089,fasteners,1.07,1.0,50,0.0047,-1.7,0.256
S0090,power tools,206.22,1.5,5,0.0056,-1.34,0.221
S0091,fasteners,0.58,2.0,1,0.0331,-1.53,0.22
S0092,abrasives,0.46,1.0,1,0.0103,-1.37,0.253
S0093,hand tools,24.04,1.5,1,0.006,-1.5,0.184
S0094,electrical,7.81,1.0,25,0.0324,-1.15,0.187
S0095,ppe,4.35,1.0,10,0.0279,-2.5,0.237
S0096,electrical,3.99,1.5,1,0.0462,-1.61,0.27
S0097,ppe,2.93,1.0,1,0.0479,-1.6,0.253
S0098,fasteners,1.18,1.5,25,0.0174,-2.09,0.255
S0099,abrasives,0.44,1.0,50,0.0194,-1.51,0.208
S0100,fasteners,1.14,2.0,25,0.0345,-1.39,0.222
S0101,abrasives,1.46,1.0,25,0.0378,-1.49,0.235
S0102,ppe,4.27,1.0,1,0.0099,-1.76,0.224
S0103,fasteners,1.21,1.0,1,0.0179,-1.83,0.182
S0104,ppe,2.14,2.0,5,0.0423,-2.19,0.299
S0105,abrasives,0.97,0.5,25,0.0124,-2.12,0.291
S0106,fasteners,0.96,0.5,25,0.0358,-1.69,0.298
S0107,abrasives,0.75,1.0,5,0.0246,-2.05,0.209
S0108,fasteners,0.36,1.5,50,0.0047,-1.33,0.219
S0109,abrasives,0.62,1.5,1,0.0022,-1.69,0.216
S0110,ppe,3.38,0.5,1,0.0486,-2.08,0.211
S0111,fasteners,1.06,2.0,1,0.0227,-1.53,0.293
S0112,power tools,84.46,2.0,1,0.0446,-1.29,0.271
S0113,fasteners,0.6,0.5,5,0.0174,-1.47,0.284
S0114,chemicals,3.1,0.5,1,0.041,-1.31,0.219
S0115,ppe,2.98,1.0,1,0.006,-2.3,0.278
S0116,ppe,3.02,1.5,5,0.0064,-2.45,0.286
S0117,ppe,2.59,0.5,1,0.0391,-2.19,0.209
S0118,electrical,2.88,1.0,1,0.0044,-1.55,0.241
S0119,abrasives,0.73,2.0,1,0.0476,-1.94,0.217
S0120,ppe,2.16,1.0,10,0.0293,-2.27,0.268
S0121,fasteners,0.67,1.5,5,0.0025,-2.03,0.203
S0122,fasteners,1.17,1.0,1,0.0088,-2.33,0.285
S0123,abrasives,0.54,1.0,5,0.0412,-1.73,0.269
S0124,abrasives,1.44,2.0,5,0.0438,-1.65,0.226
S0125,chemicals,5.36,1.5,5,0.01,-1.76,0.197
S0126,power tools,185.2,0.5,10,0.0157,-1.42,0.217
S0127,chemicals,4.83,0.5,1,0.0211,-1.6,0.258
S0128,electrical,6.47,1.0,5,0.0261,-1.81,0.287
S0129,power tools,134.76,2.0,25,0.0497,-1.35,0.185
S0130,fasteners,0.6,1.5,25,0.014,-1.69,0.244
S0131,fasteners,0.42,0.5,50,0.0388,-2.04,0.266
S0132,electrical,6.43,1.5,1,0.0225,-1.4,0.21
S0133,electrical,8.0,1.5,25,0.0118,-1.65,0.285
S0134,chemicals,3.23,2.0,5,0.0208,-1.95,0.195
S0135,fasteners,0.91,1.0,1,0.0282,-1.89,0.275
S0136,hand tools,22.94,1.0,5,0.0302,-1.36,0.299
S0137,abrasives,1.18,0.5,25,0.0081,-2.19,0.265
S0138,electrical,2.98,1.0,5,0.0072,-1.33,0.214
S0139,electrical,3.41,1.5,10,0.0183,-1.4,0.202
S0140,fasteners,0.37,0.5,50,0.0323,-2.2,0.281
S0141,abrasives,0.81,2.0,1,0.0344,-2.17,0.218
S0142,hand tools,14.3,1.5,50,0.0352,-1.36,0.241
S0143,plumbing,8.91,1.5,50,0.0162,-1.61,0.265
S0144,chemicals,7.55,0.5,1,0.0342,-1.88,0.298
S0145,fasteners,1.12,1.0,10,0.0289,-2.08,0.247
S0146,abrasives,0.72,1.0,1,0.0326,-1.64,0.292
S0147,fasteners,1.01,1.0,50,0.0417,-1.58,0.219
S0148,ppe,2.5,1.5,1,0.0252,-2.0,0.199
S0149,fasteners,0.72,0.5,25,0.0429,-1.53,0.231
S0150,chemicals,4.69,2.0,25,0.0106,-1.93,0.219
S0151,plumbing,11.76,2.0,5,0.0246,-1.28,0.216
S0152,fasteners,0.91,2.0,5,0.0066,-2.2,0.287
S0153,power tools,131.37,2.0,25,0.0049,-1.51,0.189
S0154,abrasives,0.55,1.5,1,0.0286,-1.5,0.196
S0155,fasteners,0.59,1.0,50,0.0437,-2.22,0.269
S0156,fasteners,0.66,0.5,50,0.0129,-2.01,0.263
S0157,ppe,1.51,2.0,25,0.0499,-1.69,0.212
S0158,electrical,3.02,1.0,10,0.0203,-1.2,0.253
S0159,hand tools,10.05,1.5,5,0.0013,-1.28,0.22
S0160,power tools,98.55,1.0,1,0.0458,-1.17,0.191
S0161,electrical,7.85,1.0,25,0.0428,-1.7,0.285
S0162,electrical,7.78,1.0,25,0.0042,-1.66,0.217
S0163,ppe,4.58,0.5,5,0.0451,-2.27,0.211
S0164,fasteners,0.68,1.0,1,0.0482,-1.74,0.19
S0165,fasteners,0.8,1.0,1,0.0328,-1.95,0.261
S0166,hand tools,17.03,0.5,5,0.0286,-1.06,0.187
S0167,fasteners,0.46,2.0,25,0.0292,-2.15,0.254
S0168,hand tools,22.19,1.0,1,0.0283,-1.55,0.277
S0169,ppe,1.95,1.0,1,0.0269,-2.18,0.265
S0170,electrical,5.13,1.5,10,0.0473,-1.4,0.207
S0171,fasteners,1.0,1.0,1,0.0413,-2.09,0.22
S0172,hand tools,19.87,1.0,10,0.0099,-1.12,0.299
S0173,fasteners,0.98,1.0,50,0.0361,-1.43,0.298
S0174,fasteners,0.77,1.0,1,0.0069,-1.86,0.196
S0175,abrasives,0.98,1.0,1,0.0368,-1.95,0.201
S0176,chemicals,5.37,1.5,50,0.0362,-1.68,0.218
S0177,chemicals,2.98,1.5,1,0.0335,-1.93,0.254
S0178,abrasives,0.92,1.5,25,0.0278,-1.86,0.279
S0179,plumbing,5.64,1.0,10,0.043,-1.47,0.251
S0180,chemicals,3.34,1.5,50,0.0435,-1.97,0.226
S0181,power tools,72.63,0.5,5,0.0499,-1.31,0.234
S0182,abrasives,0.83,1.5,25,0.0108,-1.69,0.187
S0183,fasteners,1.06,1.5,5,0.0313,-1.99,0.185
S0184,chemicals,5.89,2.0,50,0.0294,-1.95,0.204
S0185,hand tools,28.0,1.5,10,0.0096,-1.56,0.228
S0186,plumbing,5.89,0.5,1,0.006,-1.64,0.27
S0187,ppe,1.44,0.5,1,0.0167,-2.37,0.298
S0188,chemicals,5.98,1.0,10,0.0403,-1.31,0.211
S0189,ppe,2.9,2.0,50,0.0164,-1.96,0.229
S0190,power tools,165.0,1.5,1,0.0038,-1.5,0.257
S0191,fasteners,1.14,1.0,25,0.0421,-2.24,0.29
S0192,plumbing,6.95,1.0,10,0.0154,-1.55,0.25
S0193,power tools,184.88,1.0,25,0.035,-1.66,0.198
S0194,chemicals,5.95,1.5,10,0.0446,-1.27,0.204
S0195,fasteners,0.74,0.5,5,0.0105,-2.23,0.216
S0196,chemicals,2.79,2.0,1,0.0302,-1.63,0.184
S0197,ppe,2.45,0.5,50,0.0438,-2.02,0.198
S0198,ppe,1.66,1.0,5,0.0208,-2.36,0.195
S0199,fasteners,1.16,1.0,1,0.0085,-2.11,0.184
S0200,fasteners,0.84,0.5,1,0.0304,-1.32,0.185
S0201,electrical,5.62,1.0,25,0.0343,-1.78,0.221
S0202,plumbing,12.08,0.5,50,0.0041,-1.14,0.186
S0203,ppe,3.96,1.0,50,0.0238,-1.65,0.262
S0204,ppe,3.77,1.0,1,0.0128,-1.89,0.247
S0205,abrasives,0.8,1.0,10,0.0399,-2.2,0.239
S0206,chemicals,3.39,0.5,1,0.0354,-1.65,0.259
S0207,electrical,6.62,2.0,25,0.0103,-1.24,0.199
S0208,power tools,110.55,1.5,5,0.0336,-1.75,0.255
S0209,hand tools,18.02,0.5,50,0.0068,-1.39,0.217
S0210,plumbing,7.55,2.0,10,0.0095,-1.32,0.298
S0211,fasteners,1.17,1.0,25,0.0253,-2.35,0.244
S0212,hand tools,32.32,1.5,5,0.0465,-1.38,0.262
S0213,fasteners,1.14,1.0,5,0.0381,-1.88,0.247
S0214,plumbing,7.96,0.5,50,0.0288,-1.47,0.293
S0215,abrasives,1.18,1.0,50,0.0374,-2.09,0.228
S0216,ppe,2.39,1.5,5,0.0075,-2.19,0.188
S0217,ppe,2.62,1.0,50,0.0426,-2.31,0.195
S0218,chemicals,7.32,2.0,1,0.0162,-1.71,0.248
S0219,fasteners,0.73,2.0,1,0.0029,-1.49,0.193
S0220,ppe,1.99,1.0,25,0.0141,-2.15,0.295
S0221,plumbing,6.9,1.0,10,0.0292,-1.42,0.296
S0222,abrasives,0.51,1.0,50,0.0421,-1.93,0.274
S0223,chemicals,4.57,2.0,1,0.0287,-1.75,0.223
S0224,fasteners,0.96,1.5,1,0.0457,-1.53,0.237
S0225,power tools,60.23,1.5,10,0.0076,-1.79,0.206
S0226,abrasives,0.94,1.0,25,0.0444,-1.76,0.257
S0227,fasteners,0.51,1.5,25,0.0365,-2.34,0.236
S0228,hand tools,25.61,1.0,25,0.0396,-1.15,0.256
S0229,plumbing,5.23,0.5,1,0.0382,-1.13,0.192
S0230,ppe,4.47,2.0,1,0.0334,-1.86,0.235
S0231,ppe,4.07,0.5,1,0.0278,-2.18,0.191
S0232,abrasives,0.59,2.0,10,0.0463,-1.68,0.205
S0233,abrasives,0.57,1.0,5,0.0425,-2.17,0.226
S0234,abrasives,1.26,1.0,5,0.0011,-1.51,0.209
S0235,electrical,5.38,2.0,10,0.0466,-1.48,0.273
S0236,electrical,7.32,1.0,1,0.0177,-1.13,0.191
S0237,abrasives,0.58,0.5,1,0.0187,-2.07,0.194
S0238,abrasives,0.62,1.5,1,0.0432,-1.79,0.219
S0239,chemicals,5.76,1.0,1,0.0246,-1.33,0.187
S0240,power tools,97.79,1.0,50,0.0133,-1.54,0.243
