sku,category,unit_cost_eur,current_price_eur,avg_monthly_demand,demand_std,lead_time_months,lead_time_std,moq,shelf_m3_per_unit,elasticity,annual_holding_rate,demand_risk
S0181,power tools,72.63,97.76,81.1,58.07,0.5,0.09,5,0.0499,-1.31,0.234,0.206
S0182,abrasives,0.83,1.49,11.2,6.44,1.5,0.26,25,0.0108,-1.69,0.187,0.186
S0183,fasteners,1.06,1.64,151.5,60.92,1.5,0.58,5,0.0313,-1.99,0.185,0.206
S0184,chemicals,5.89,12.01,15.6,13.62,2.0,0.31,50,0.0294,-1.95,0.204,0.283
S0185,hand tools,28.0,38.74,155.2,159.26,1.5,0.34,10,0.0096,-1.56,0.228,0.179
S0186,plumbing,5.89,9.39,16.6,4.36,0.5,0.14,1,0.006,-1.64,0.27,0.265
S0187,ppe,1.44,2.44,16.9,23.62,0.5,0.18,1,0.0167,-2.37,0.298,0.142
S0188,chemicals,5.98,10.45,4.3,4.31,1.0,0.19,10,0.0403,-1.31,0.211,0.147
S0189,ppe,2.9,4.78,6.8,2.72,2.0,0.6,50,0.0164,-1.96,0.229,0.392
S0190,power tools,165.0,245.68,33.7,44.44,1.5,0.24,1,0.0038,-1.5,0.257,0.145
S0191,fasteners,1.14,2.0,76.0,75.42,1.0,0.34,25,0.0421,-2.24,0.29,0.281
S0192,plumbing,6.95,12.1,37.2,8.21,1.0,0.11,10,0.0154,-1.55,0.25,0.313
S0193,power tools,184.88,238.34,19.9,12.44,1.0,0.17,25,0.035,-1.66,0.198,0.162
S0194,chemicals,5.95,10.15,45.6,11.0,1.5,0.31,10,0.0446,-1.27,0.204,0.172
S0195,fasteners,0.74,1.38,30.3,26.52,0.5,0.2,5,0.0105,-2.23,0.216,0.142
S0196,chemicals,2.79,5.73,202.4,145.47,2.0,0.27,1,0.0302,-1.63,0.184,0.252
S0197,ppe,2.45,3.83,35.5,12.86,0.5,0.1,50,0.0438,-2.02,0.198,0.175
S0198,ppe,1.66,2.66,6.3,4.94,1.0,0.38,5,0.0208,-2.36,0.195,0.17
S0199,fasteners,1.16,1.99,88.1,89.09,1.0,0.13,1,0.0085,-2.11,0.184,0.295
S0200,fasteners,0.84,1.35,56.4,58.57,0.5,0.17,1,0.0304,-1.32,0.185,0.244
S0201,electrical,5.62,9.81,18.5,4.81,1.0,0.14,25,0.0343,-1.78,0.221,0.177
S0202,plumbing,12.08,21.83,22.7,25.52,0.5,0.16,50,0.0041,-1.14,0.186,0.191
S0203,ppe,3.96,6.37,68.0,32.24,1.0,0.37,50,0.0238,-1.65,0.262,0.115
S0204,ppe,3.77,6.23,54.4,12.79,1.0,0.33,1,0.0128,-1.89,0.247,0.078
S0205,abrasives,0.8,1.38,73.4,72.66,1.0,0.3,10,0.0399,-2.2,0.239,0.447
S0206,chemicals,3.39,6.02,135.3,69.7,0.5,0.2,1,0.0354,-1.65,0.259,0.215
S0207,electrical,6.62,11.47,16.5,22.19,2.0,0.67,25,0.0103,-1.24,0.199,0.148
S0208,power tools,110.55,141.03,50.5,40.01,1.5,0.21,5,0.0336,-1.75,0.255,0.298
S0209,hand tools,18.02,27.45,24.4,33.43,0.5,0.18,50,0.0068,-1.39,0.217,0.263
S0210,plumbing,7.55,11.12,76.0,29.23,2.0,0.5,10,0.0095,-1.32,0.298,0.336
S0211,fasteners,1.17,2.1,14.6,8.76,1.0,0.2,25,0.0253,-2.35,0.244,0.163
S0212,hand tools,32.32,52.5,10.4,5.1,1.5,0.24,5,0.0465,-1.38,0.262,0.155
S0213,fasteners,1.14,2.03,24.6,8.61,1.0,0.11,5,0.0381,-1.88,0.247,0.454
S0214,plumbing,7.96,12.56,34.2,38.11,0.5,0.13,50,0.0288,-1.47,0.293,0.345
S0215,abrasives,1.18,2.06,47.2,25.19,1.0,0.39,50,0.0374,-2.09,0.228,0.377
S0216,ppe,2.39,4.26,39.1,41.82,1.5,0.45,5,0.0075,-2.19,0.188,0.154
S0217,ppe,2.62,4.31,1.6,1.82,1.0,0.15,50,0.0426,-2.31,0.195,0.198
S0218,chemicals,7.32,14.46,89.7,70.53,2.0,0.33,1,0.0162,-1.71,0.248,0.082
S0219,fasteners,0.73,1.36,20.0,27.43,2.0,0.53,1,0.0029,-1.49,0.193,0.196
S0220,ppe,1.99,3.47,86.4,16.25,1.0,0.11,25,0.0141,-2.15,0.295,0.312
S0221,plumbing,6.9,12.04,14.6,14.2,1.0,0.12,10,0.0292,-1.42,0.296,0.257
S0222,abrasives,0.51,1.03,206.8,230.92,1.0,0.27,50,0.0421,-1.93,0.274,0.038
S0223,chemicals,4.57,9.4,70.6,58.05,2.0,0.41,1,0.0287,-1.75,0.223,0.082
S0224,fasteners,0.96,1.79,3.0,1.81,1.5,0.37,1,0.0457,-1.53,0.237,0.105
S0225,power tools,60.23,92.01,122.7,130.74,1.5,0.22,10,0.0076,-1.79,0.206,0.7
S0226,abrasives,0.94,1.48,118.6,28.31,1.0,0.2,25,0.0444,-1.76,0.257,0.273
S0227,fasteners,0.51,0.87,38.2,39.49,1.5,0.49,25,0.0365,-2.34,0.236,0.189
S0228,hand tools,25.61,38.54,29.9,13.4,1.0,0.1,25,0.0396,-1.15,0.256,0.225
S0229,plumbing,5.23,9.14,71.8,24.54,0.5,0.12,1,0.0382,-1.13,0.192,0.108
S0230,ppe,4.47,7.0,4.1,3.76,2.0,0.25,1,0.0334,-1.86,0.235,0.485
S0231,ppe,4.07,6.11,108.3,107.18,0.5,0.14,1,0.0278,-2.18,0.191,0.46
S0232,abrasives,0.59,1.09,2.3,2.07,2.0,0.43,10,0.0463,-1.68,0.205,0.661
S0233,abrasives,0.57,1.15,33.7,15.82,1.0,0.18,5,0.0425,-2.17,0.226,0.138
S0234,abrasives,1.26,2.14,27.3,22.66,1.0,0.38,5,0.0011,-1.51,0.209,0.322
S0235,electrical,5.38,8.08,22.2,4.81,2.0,0.35,10,0.0466,-1.48,0.273,0.455
S0236,electrical,7.32,11.24,42.1,15.07,1.0,0.33,1,0.0177,-1.13,0.191,0.5
S0237,abrasives,0.58,0.92,6.4,1.58,0.5,0.13,1,0.0187,-2.07,0.194,0.233
S0238,abrasives,0.62,0.99,13.1,13.26,1.5,0.6,1,0.0432,-1.79,0.219,0.222
S0239,chemicals,5.76,11.88,118.5,63.99,1.0,0.15,1,0.0246,-1.33,0.187,0.161
S0240,power tools,97.79,150.2,87.9,72.76,1.0,0.14,50,0.0133,-1.54,0.243,0.071
