sku,month,price_eur,units,demand_baseline
S0003,2024-07,0.93,15.8,14.46
S0003,2024-08,0.93,24.5,24.41
S0003,2024-09,0.93,12.5,12.67
S0003,2024-10,0.93,28.5,30.21
S0003,2024-11,0.87,35.2,33.97
S0003,2024-12,0.93,28.3,29.35
S0003,2025-01,0.82,19.5,16.31
S0003,2025-02,0.93,17.2,16.94
S0003,2025-03,0.93,21.0,22.17
S0003,2025-04,0.93,16.7,16.23
S0003,2025-05,0.93,27.7,27.09
S0003,2025-06,0.93,24.0,23.02
S0003,2025-07,0.74,28.7,18.42
S0003,2025-08,0.93,8.2,8.91
S0003,2025-09,0.93,13.8,15.19
S0003,2025-10,0.93,12.7,12.95
S0003,2025-11,0.72,26.2,15.65
S0003,2025-12,0.93,22.0,24.37
S0003,2026-01,0.83,0.1,0.1
S0003,2026-02,0.93,19.4,19.59
S0003,2026-03,0.93,28.0,29.9
S0003,2026-04,0.93,25.3,27.1
S0003,2026-05,0.93,20.1,20.11
S0003,2026-06,0.93,22.2,21.0
S0004,2024-07,237.34,11.1,9.9
S0004,2024-08,263.71,13.9,13.46
S0004,2024-09,263.71,10.8,10.72
S0004,2024-10,210.02,22.6,16.31
S0004,2024-11,263.71,13.2,12.76
S0004,2024-12,263.71,8.8,8.6
S0004,2025-01,263.71,10.4,9.86
S0004,2025-02,263.71,13.2,13.51
S0004,2025-03,238.63,14.3,12.31
S0004,2025-04,248.61,20.1,17.11
S0004,2025-05,263.71,13.8,14.07
S0004,2025-06,263.71,9.7,9.99
S0004,2025-07,224.48,11.0,8.24
S0004,2025-08,263.71,9.4,9.0
S0004,2025-09,263.71,13.3,13.72
S0004,2025-10,263.71,13.4,14.48
S0004,2025-11,248.42,12.8,11.52
S0004,2025-12,263.71,9.3,9.05
S0004,2026-01,263.71,9.6,9.53
S0004,2026-02,263.71,9.6,10.56
S0004,2026-03,263.71,11.0,10.47
S0004,2026-04,263.71,12.2,13.09
S0004,2026-05,263.71,11.8,12.04
S0004,2026-06,201.86,14.7,10.2
S0005,2024-07,0.73,16.0,10.64
S0005,2024-08,0.94,16.4,17.96
S0005,2024-09,0.94,19.2,19.61
S0005,2024-10,0.94,6.4,6.94
S0005,2024-11,0.94,13.0,13.09
S0005,2024-12,0.94,13.2,11.8
S0005,2025-01,0.94,13.6,13.75
S0005,2025-02,0.94,10.4,10.17
S0005,2025-03,0.84,20.0,15.29
S0005,2025-04,0.94,9.3,9.55
S0005,2025-05,0.77,26.5,16.45
S0005,2025-06,0.94,8.9,9.04
S0005,2025-07,0.94,9.9,9.7
S0005,2025-08,0.94,8.2,8.5
S0005,2025-09,0.94,10.3,10.73
S0005,2025-10,0.82,14.2,11.19
S0005,2025-11,0.94,13.8,13.65
S0005,2025-12,0.87,13.2,11.31
S0005,2026-01,0.79,20.1,14.39
S0005,2026-02,0.94,10.4,10.73
S0005,2026-03,0.84,19.7,16.31
S0005,2026-04,0.8,17.8,13.77
S0005,2026-05,0.71,9.8,5.8
S0005,2026-06,0.94,11.9,12.09
S0006,2024-07,229.83,108.9,107.41
S0006,2024-08,208.36,126.7,111.94
S0006,2024-09,229.83,135.2,125.82
S0006,2024-10,229.83,153.6,157.98
S0006,2024-11,180.94,168.1,125.54
S0006,2024-12,229.83,114.4,117.64
S0006,2025-01,207.55,138.0,114.88
S0006,2025-02,173.09,189.2,141.03
S0006,2025-03,229.83,81.4,87.71
S0006,2025-04,229.83,125.8,131.59
S0006,2025-05,173.35,183.3,137.55
S0006,2025-06,198.62,107.5,78.34
S0006,2025-07,229.83,103.6,100.84
S0006,2025-08,229.83,75.6,70.46
S0006,2025-09,229.83,134.9,129.7
S0006,2025-10,229.83,148.0,148.45
S0006,2025-11,229.83,142.4,138.09
S0006,2025-12,194.02,140.3,117.97
S0006,2026-01,229.83,93.7,96.29
S0006,2026-02,229.83,116.6,114.05
S0006,2026-03,229.83,125.3,121.95
S0006,2026-04,229.83,109.1,118.59
S0006,2026-05,173.21,142.4,106.78
S0006,2026-06,229.83,92.1,95.16
S0007,2024-07,0.79,11.5,11.0
S0007,2024-08,0.79,13.4,13.92
S0007,2024-09,0.79,10.2,9.5
S0007,2024-10,0.79,7.3,6.86
S0007,2024-11,0.79,6.8,7.01
S0007,2024-12,0.79,11.1,10.7
S0007,2025-01,0.79,2.1,2.15
S0007,2025-02,0.79,10.2,10.81
S0007,2025-03,0.79,9.7,9.3
S0007,2025-04,0.79,5.3,5.7
S0007,2025-05,0.79,6.1,6.05
S0007,2025-06,0.79,10.6,9.83
S0007,2025-07,0.79,8.2,8.71
S0007,2025-08,0.79,7.7,7.88
S0007,2025-09,0.79,11.2,11.22
S0007,2025-10,0.79,13.5,13.6
S0007,2025-11,0.79,13.6,13.27
S0007,2025-12,0.79,4.9,5.19
S0007,2026-01,0.79,11.9,10.52
S0007,2026-02,0.79,4.5,4.71
S0007,2026-03,0.66,18.7,11.16
S0007,2026-04,0.79,8.2,8.55
S0007,2026-05,0.79,16.5,17.24
S0007,2026-06,0.79,11.9,11.7
S0008,2024-07,13.38,64.1,62.12
S0008,2024-08,13.38,83.4,84.1
S0008,2024-09,11.9,55.4,47.93
S0008,2024-10,12.4,81.4,66.6
S0008,2024-11,12.18,83.1,67.89
S0008,2024-12,12.61,42.3,38.4
S0008,2025-01,13.38,73.9,68.0
S0008,2025-02,10.51,120.4,78.25
S0008,2025-03,13.38,76.6,76.2
S0008,2025-04,13.38,70.6,67.21
S0008,2025-05,13.38,83.8,82.57
S0008,2025-06,13.38,79.0,73.7
S0008,2025-07,11.17,75.7,52.51
S0008,2025-08,13.38,46.2,47.87
S0008,2025-09,10.76,111.0,75.78
S0008,2025-10,13.38,86.7,84.24
S0008,2025-11,13.38,42.3,44.14
S0008,2025-12,13.38,60.3,63.98
S0008,2026-01,11.02,69.8,50.43
S0008,2026-02,11.98,71.4,63.63
S0008,2026-03,13.38,48.2,47.73
S0008,2026-04,10.97,132.0,94.08
S0008,2026-05,11.27,103.2,78.31
S0008,2026-06,13.38,88.1,88.26
S0009,2024-07,4.81,20.1,20.26
S0009,2024-08,4.81,24.3,24.91
S0009,2024-09,4.26,30.7,26.13
S0009,2024-10,4.81,25.8,27.61
S0009,2024-11,4.81,32.6,32.71
S0009,2024-12,4.81,44.7,41.05
S0009,2025-01,3.9,27.8,21.28
S0009,2025-02,4.81,30.8,30.01
S0009,2025-03,4.81,39.7,42.38
S0009,2025-04,4.81,40.9,41.17
S0009,2025-05,4.81,34.6,33.35
S0009,2025-06,3.98,25.9,21.58
S0009,2025-07,4.34,24.6,19.46
S0009,2025-08,4.81,30.2,29.03
S0009,2025-09,4.22,29.5,24.36
S0009,2025-10,4.81,38.6,39.31
S0009,2025-11,4.81,29.5,30.45
S0009,2025-12,4.01,17.5,12.8
S0009,2026-01,4.81,28.2,29.95
S0009,2026-02,4.81,19.2,17.67
S0009,2026-03,4.81,21.5,21.21
S0009,2026-04,4.81,33.2,33.54
S0009,2026-05,4.81,25.4,24.49
S0009,2026-06,4.81,20.9,20.85
S0010,2024-07,7.55,146.8,132.03
S0010,2024-08,7.55,144.6,136.59
S0010,2024-09,7.55,136.3,133.31
S0010,2024-10,7.55,198.3,184.45
S0010,2024-11,7.55,153.4,144.23
S0010,2024-12,5.83,165.9,110.78
S0010,2025-01,7.55,119.6,125.29
S0010,2025-02,7.55,123.7,120.82
S0010,2025-03,7.55,94.8,117.86
S0010,2025-04,7.55,172.3,180.31
S0010,2025-05,6.12,159.6,124.13
S0010,2025-06,7.01,92.8,84.02
S0010,2025-07,5.74,147.7,97.18
S0010,2025-08,7.55,92.6,99.74
S0010,2025-09,7.55,163.0,155.69
S0010,2025-10,6.89,134.0,112.59
S0010,2025-11,7.55,95.7,94.93
S0010,2025-12,7.55,84.0,79.14
S0010,2026-01,7.55,58.1,56.39
S0010,2026-02,7.55,64.0,63.64
S0010,2026-03,7.55,104.7,104.3
S0010,2026-04,7.55,110.1,117.65
S0010,2026-05,7.55,90.5,84.67
S0010,2026-06,6.63,116.5,96.65
S0011,2024-07,5.65,198.2,199.64
S0011,2024-08,5.65,206.1,217.47
S0011,2024-09,4.91,333.8,248.77
S0011,2024-10,5.65,267.7,275.51
S0011,2024-11,4.72,432.7,273.89
S0011,2024-12,5.65,229.3,237.6
S0011,2025-01,5.65,191.3,193.51
S0011,2025-02,5.65,212.4,216.93
S0011,2025-03,5.65,306.6,294.1
S0011,2025-04,5.65,326.8,358.32
S0011,2025-05,5.01,302.9,241.62
S0011,2025-06,5.65,288.8,303.93
S0011,2025-07,5.0,264.7,223.68
S0011,2025-08,5.65,142.8,150.28
S0011,2025-09,5.65,255.4,238.84
S0011,2025-10,5.65,288.8,286.99
S0011,2025-11,5.01,351.0,255.04
S0011,2025-12,5.65,200.4,207.25
S0011,2026-01,5.65,246.0,218.52
S0011,2026-02,5.65,241.8,249.71
S0011,2026-03,5.05,313.7,246.63
S0011,2026-04,5.65,272.7,274.98
S0011,2026-05,5.65,208.1,213.56
S0011,2026-06,5.65,144.6,139.15
S0012,2024-07,1.29,251.4,212.05
S0012,2024-08,1.42,188.7,204.21
S0012,2024-09,1.42,222.6,188.86
S0012,2024-10,1.34,296.3,277.43
S0012,2024-11,1.15,418.5,262.94
S0012,2024-12,1.42,115.6,122.29
S0012,2025-01,1.42,165.5,149.29
S0012,2025-02,1.42,198.4,203.4
S0012,2025-03,1.42,188.4,175.68
S0012,2025-04,1.42,239.2,231.66
S0012,2025-05,1.42,217.1,225.22
S0012,2025-06,1.07,333.0,185.26
S0012,2025-07,1.42,154.8,155.88
S0012,2025-08,1.42,252.5,242.72
S0012,2025-09,1.42,234.3,227.05
S0012,2025-10,1.42,211.9,225.49
S0012,2025-11,1.42,184.0,179.38
S0012,2025-12,1.42,196.5,205.72
S0012,2026-01,1.42,137.3,135.97
S0012,2026-02,1.09,276.1,160.34
S0012,2026-03,1.42,242.1,269.01
S0012,2026-04,1.42,151.1,147.42
S0012,2026-05,1.42,179.9,196.4
S0012,2026-06,1.42,169.3,163.88
S0013,2024-07,38.81,390.1,406.08
S0013,2024-08,38.81,629.1,670.54
S0013,2024-09,38.81,1204.3,1326.66
S0013,2024-10,38.81,127.0,114.78
S0013,2024-11,38.81,473.0,482.35
S0013,2024-12,38.81,871.2,889.94
S0013,2025-01,38.81,937.3,931.75
S0013,2025-02,29.7,363.8,244.7
S0013,2025-03,32.26,970.2,723.38
S0013,2025-04,38.81,877.7,871.03
S0013,2025-05,38.81,952.8,912.0
S0013,2025-06,38.81,1053.3,1008.51
S0013,2025-07,38.81,304.2,290.55
S0013,2025-08,38.81,446.2,463.65
S0013,2025-09,38.81,1008.4,1024.57
S0013,2025-10,38.81,682.9,738.01
S0013,2025-11,38.81,797.6,827.92
S0013,2025-12,38.81,1013.2,985.37
S0013,2026-01,30.25,470.7,360.16
S0013,2026-02,38.81,158.6,155.67
S0013,2026-03,38.81,1145.4,1123.57
S0013,2026-04,38.81,1281.3,1269.8
S0013,2026-05,38.81,693.1,691.64
S0013,2026-06,38.81,533.8,457.42
S0014,2024-07,6.05,19.8,18.34
S0014,2024-08,6.05,33.6,32.13
S0014,2024-09,6.05,32.0,32.12
S0014,2024-10,6.05,21.7,22.37
S0014,2024-11,5.29,24.8,20.67
S0014,2024-12,6.05,12.7,13.9
S0014,2025-01,6.05,24.4,24.7
S0014,2025-02,6.05,23.8,25.0
S0014,2025-03,4.55,18.6,11.68
S0014,2025-04,6.05,28.2,28.73
S0014,2025-05,4.82,25.4,17.32
S0014,2025-06,6.05,23.1,22.74
S0014,2025-07,5.37,22.3,19.22
S0014,2025-08,4.88,35.5,22.58
S0014,2025-09,6.05,18.9,17.68
S0014,2025-10,5.67,27.8,26.92
S0014,2025-11,6.05,31.1,30.48
S0014,2025-12,6.05,23.1,22.76
S0014,2026-01,6.05,11.7,11.17
S0014,2026-02,6.05,8.1,7.97
S0014,2026-03,4.8,48.9,36.38
S0014,2026-04,6.05,39.0,35.2
S0014,2026-05,5.03,40.1,29.49
S0014,2026-06,6.05,24.5,26.7
S0015,2024-07,1.08,17.8,15.99
S0015,2024-08,1.2,30.2,30.84
S0015,2024-09,1.2,17.1,17.55
S0015,2024-10,1.2,33.8,33.79
S0015,2024-11,1.02,23.4,17.5
S0015,2024-12,1.2,26.9,25.92
S0015,2025-01,1.03,20.4,15.1
S0015,2025-02,1.12,23.6,20.83
S0015,2025-03,1.2,26.3,26.47
S0015,2025-04,0.91,37.2,27.01
S0015,2025-05,1.08,25.5,21.53
S0015,2025-06,1.2,12.8,12.54
S0015,2025-07,1.2,15.6,16.25
S0015,2025-08,1.2,21.0,22.31
S0015,2025-09,1.2,28.2,27.51
S0015,2025-10,1.2,30.5,29.77
S0015,2025-11,1.2,18.7,19.38
S0015,2025-12,1.2,23.1,23.66
S0015,2026-01,1.2,29.1,28.86
S0015,2026-02,1.2,17.7,18.17
S0015,2026-03,1.2,34.8,33.49
S0015,2026-04,1.2,16.2,16.64
S0015,2026-05,1.2,24.7,25.88
S0015,2026-06,1.0,21.9,16.95
S0016,2024-07,4.89,27.9,30.0
S0016,2024-08,4.89,33.8,34.07
S0016,2024-09,4.13,56.9,47.23
S0016,2024-10,4.89,46.1,46.12
S0016,2024-11,3.92,21.3,15.06
S0016,2024-12,4.89,23.1,22.84
S0016,2025-01,4.37,0.1,0.1
S0016,2025-02,3.95,45.0,33.76
S0016,2025-03,4.89,21.0,21.25
S0016,2025-04,4.16,37.6,30.65
S0016,2025-05,3.95,62.4,49.78
S0016,2025-06,4.89,36.2,34.01
S0016,2025-07,4.34,52.7,40.76
S0016,2025-08,4.89,34.7,35.59
S0016,2025-09,4.89,21.2,22.42
S0016,2025-10,4.89,33.9,34.67
S0016,2025-11,4.32,65.5,54.68
S0016,2025-12,4.28,55.0,42.11
S0016,2026-01,4.89,4.5,4.35
S0016,2026-02,4.35,19.5,15.24
S0016,2026-03,4.89,30.2,29.36
S0016,2026-04,4.89,26.9,26.74
S0016,2026-05,3.71,59.3,39.75
S0016,2026-06,4.2,27.8,22.0
S0017,2024-07,0.98,20.6,21.27
S0017,2024-08,0.98,17.0,16.81
S0017,2024-09,0.98,16.6,16.83
S0017,2024-10,0.98,11.0,10.19
S0017,2024-11,0.98,18.5,18.32
S0017,2024-12,0.98,6.4,6.16
S0017,2025-01,0.98,11.9,12.22
S0017,2025-02,0.84,18.8,15.15
S0017,2025-03,0.98,0.7,0.75
S0017,2025-04,0.98,16.8,16.44
S0017,2025-05,0.98,8.7,9.0
S0017,2025-06,0.8,21.3,16.05
S0017,2025-07,0.98,8.7,8.85
S0017,2025-08,0.78,21.5,15.0
S0017,2025-09,0.98,9.8,10.55
S0017,2025-10,0.98,20.2,19.56
S0017,2025-11,0.98,12.6,12.33
S0017,2025-12,0.98,3.0,3.01
S0017,2026-01,0.8,12.9,10.54
S0017,2026-02,0.98,12.4,12.27
S0017,2026-03,0.89,8.6,8.28
S0017,2026-04,0.98,12.5,12.48
S0017,2026-05,0.98,17.0,18.04
S0017,2026-06,0.82,5.7,4.36
S0018,2024-07,9.62,9.8,9.45
S0018,2024-08,9.62,17.3,16.94
S0018,2024-09,8.72,15.7,13.37
S0018,2024-10,9.62,14.2,14.32
S0018,2024-11,9.62,12.4,12.03
S0018,2024-12,9.62,11.0,11.21
S0018,2025-01,9.62,10.8,10.66
S0018,2025-02,9.62,12.0,11.82
S0018,2025-03,9.62,16.7,17.7
S0018,2025-04,8.92,4.0,3.46
S0018,2025-05,9.62,13.9,15.24
S0018,2025-06,9.62,2.9,2.92
S0018,2025-07,9.62,12.1,12.19
S0018,2025-08,9.62,5.7,6.21
S0018,2025-09,9.62,12.3,12.09
S0018,2025-10,9.62,5.3,5.35
S0018,2025-11,9.62,11.4,13.08
S0018,2025-12,8.49,0.1,0.1
S0018,2026-01,9.62,8.9,9.7
S0018,2026-02,9.62,3.9,3.82
S0018,2026-03,8.01,17.3,12.95
S0018,2026-04,9.62,18.1,16.95
S0018,2026-05,7.77,5.3,3.73
S0018,2026-06,7.25,8.4,5.34
S0019,2024-07,2.74,11.9,12.8
S0019,2024-08,2.74,17.0,17.19
S0019,2024-09,2.74,15.9,16.07
S0019,2024-10,2.74,22.1,21.86
S0019,2024-11,2.74,24.2,24.42
S0019,2024-12,2.74,14.6,14.92
S0019,2025-01,2.74,18.3,16.54
S0019,2025-02,2.31,15.2,10.78
S0019,2025-03,2.74,21.1,19.93
S0019,2025-04,2.17,32.3,22.39
S0019,2025-05,2.74,19.3,19.67
S0019,2025-06,2.74,18.3,17.17
S0019,2025-07,2.74,18.1,17.29
S0019,2025-08,2.3,19.6,15.32
S0019,2025-09,2.33,26.3,17.71
S0019,2025-10,2.74,16.8,17.77
S0019,2025-11,2.39,23.3,17.6
S0019,2025-12,2.74,19.1,18.41
S0019,2026-01,2.74,18.0,17.03
S0019,2026-02,2.74,16.0,16.0
S0019,2026-03,2.74,19.4,20.73
S0019,2026-04,2.74,19.6,19.18
S0019,2026-05,2.74,19.5,19.65
S0019,2026-06,2.74,13.5,13.89
S0020,2024-07,171.46,32.9,22.57
S0020,2024-08,209.28,29.8,26.68
S0020,2024-09,209.28,24.4,25.64
S0020,2024-10,209.28,35.1,33.66
S0020,2024-11,209.28,31.7,30.94
S0020,2024-12,198.66,26.2,25.13
S0020,2025-01,209.28,21.8,22.11
S0020,2025-02,209.28,23.2,23.71
S0020,2025-03,209.28,27.3,28.49
S0020,2025-04,209.28,28.7,29.82
S0020,2025-05,171.41,45.0,31.65
S0020,2025-06,209.28,23.7,23.39
S0020,2025-07,209.28,21.6,21.13
S0020,2025-08,185.3,29.4,23.19
S0020,2025-09,175.36,30.8,21.34
S0020,2025-10,209.28,28.0,27.73
S0020,2025-11,171.15,40.9,30.12
S0020,2025-12,209.28,20.1,19.92
S0020,2026-01,196.97,16.7,15.31
S0020,2026-02,209.28,21.5,19.48
S0020,2026-03,209.28,20.2,19.69
S0020,2026-04,209.28,25.5,24.2
S0020,2026-05,209.28,17.5,17.4
S0020,2026-06,184.03,24.1,17.78
S0021,2024-07,1.65,3.9,3.83
S0021,2024-08,1.65,4.7,4.31
S0021,2024-09,1.42,5.7,4.43
S0021,2024-10,1.53,11.6,10.71
S0021,2024-11,1.65,9.1,8.99
S0021,2024-12,1.65,14.0,13.3
S0021,2025-01,1.27,0.2,0.1
S0021,2025-02,1.65,3.6,3.56
S0021,2025-03,1.65,5.1,5.05
S0021,2025-04,1.65,6.7,7.07
S0021,2025-05,1.65,5.9,5.62
S0021,2025-06,1.65,1.3,1.25
S0021,2025-07,1.65,5.4,5.14
S0021,2025-08,1.65,0.1,0.1
S0021,2025-09,1.65,9.9,10.7
S0021,2025-10,1.65,7.0,6.74
S0021,2025-11,1.65,7.1,7.42
S0021,2025-12,1.5,0.1,0.1
S0021,2026-01,1.65,0.2,0.23
S0021,2026-02,1.65,7.1,6.99
S0021,2026-03,1.65,6.6,6.78
S0021,2026-04,1.65,2.8,2.96
S0021,2026-05,1.65,4.6,4.49
S0021,2026-06,1.65,4.9,5.35
S0022,2024-07,38.87,84.5,83.65
S0022,2024-08,29.43,116.8,72.99
S0022,2024-09,38.87,68.3,72.09
S0022,2024-10,38.87,88.8,81.46
S0022,2024-11,38.87,32.1,30.84
S0022,2024-12,38.87,48.0,51.43
S0022,2025-01,38.87,49.8,49.27
S0022,2025-02,38.87,47.4,52.91
S0022,2025-03,38.87,47.2,44.56
S0022,2025-04,38.87,45.4,43.5
S0022,2025-05,34.58,78.6,67.6
S0022,2025-06,38.87,60.3,59.95
S0022,2025-07,35.23,80.9,71.73
S0022,2025-08,38.87,65.9,66.59
S0022,2025-09,38.87,43.7,49.15
S0022,2025-10,30.74,88.0,63.83
S0022,2025-11,38.87,41.1,39.14
S0022,2025-12,38.87,55.8,56.83
S0022,2026-01,38.87,22.7,22.54
S0022,2026-02,29.58,3.9,2.35
S0022,2026-03,38.87,76.2,71.78
S0022,2026-04,38.87,62.3,62.46
S0022,2026-05,38.87,59.8,58.34
S0022,2026-06,38.87,26.4,25.7
S0023,2024-07,14.84,7.0,7.58
S0023,2024-08,13.89,20.3,17.44
S0023,2024-09,14.84,10.6,10.02
S0023,2024-10,14.84,7.0,7.0
S0023,2024-11,11.4,18.5,11.64
S0023,2024-12,14.03,16.3,15.31
S0023,2025-01,13.16,10.9,9.41
S0023,2025-02,14.84,5.1,4.82
S0023,2025-03,11.43,13.4,9.13
S0023,2025-04,12.37,16.7,11.94
S0023,2025-05,14.84,3.4,3.15
S0023,2025-06,14.84,9.9,10.34
S0023,2025-07,14.84,10.7,10.17
S0023,2025-08,14.84,0.2,0.19
S0023,2025-09,12.91,12.4,9.96
S0023,2025-10,12.25,11.7,8.88
S0023,2025-11,14.84,11.2,12.39
S0023,2025-12,14.84,7.7,7.13
S0023,2026-01,13.32,11.3,10.75
S0023,2026-02,14.84,7.0,7.11
S0023,2026-03,14.84,6.2,6.36
S0023,2026-04,14.84,6.1,7.03
S0023,2026-05,14.84,10.9,11.37
S0023,2026-06,14.84,7.9,7.93
S0024,2024-07,11.53,26.2,27.42
S0024,2024-08,11.53,67.9,67.23
S0024,2024-09,10.73,63.6,58.03
S0024,2024-10,10.04,80.3,68.47
S0024,2024-11,11.53,44.6,42.26
S0024,2024-12,10.56,82.1,69.88
S0024,2025-01,9.51,114.6,80.65
S0024,2025-02,11.53,35.0,33.3
S0024,2025-03,11.53,55.7,59.52
S0024,2025-04,11.53,38.4,39.93
S0024,2025-05,10.65,35.9,34.14
S0024,2025-06,11.53,72.8,70.85
S0024,2025-07,11.53,26.5,29.38
S0024,2025-08,11.53,35.8,37.73
S0024,2025-09,8.79,26.0,18.12
S0024,2025-10,11.53,41.6,42.28
S0024,2025-11,8.76,37.2,22.41
S0024,2025-12,11.53,53.8,53.03
S0024,2026-01,11.53,59.2,58.03
S0024,2026-02,11.53,29.9,29.79
S0024,2026-03,8.9,10.0,6.36
S0024,2026-04,11.53,30.0,30.08
S0024,2026-05,11.53,38.3,39.48
S0024,2026-06,11.53,6.0,6.23
S0025,2024-07,0.68,50.6,48.27
S0025,2024-08,0.64,47.6,42.56
S0025,2024-09,0.54,62.6,40.36
S0025,2024-10,0.68,52.2,53.57
S0025,2024-11,0.68,41.7,43.13
S0025,2024-12,0.68,49.5,48.08
S0025,2025-01,0.68,35.0,34.01
S0025,2025-02,0.68,36.9,35.94
S0025,2025-03,0.53,71.7,50.86
S0025,2025-04,0.68,50.7,47.9
S0025,2025-05,0.68,49.4,46.43
S0025,2025-06,0.68,49.3,50.74
S0025,2025-07,0.52,49.3,31.63
S0025,2025-08,0.55,53.8,36.6
S0025,2025-09,0.68,48.6,50.04
S0025,2025-10,0.68,44.8,46.71
S0025,2025-11,0.68,39.6,42.02
S0025,2025-12,0.68,42.8,46.88
S0025,2026-01,0.56,50.6,35.82
S0025,2026-02,0.59,48.3,38.1
S0025,2026-03,0.68,48.2,49.13
S0025,2026-04,0.68,52.4,54.87
S0025,2026-05,0.54,70.9,44.92
S0025,2026-06,0.68,29.4,29.01
S0026,2024-07,7.9,13.7,13.54
S0026,2024-08,7.9,12.6,11.86
S0026,2024-09,7.33,17.6,14.52
S0026,2024-10,7.9,15.5,15.54
S0026,2024-11,7.9,15.0,15.0
S0026,2024-12,7.9,12.5,13.05
S0026,2025-01,6.64,17.2,12.0
S0026,2025-02,7.9,13.3,14.28
S0026,2025-03,7.9,15.1,15.11
S0026,2025-04,7.9,16.2,16.08
S0026,2025-05,7.9,14.4,15.01
S0026,2025-06,7.9,15.6,15.42
S0026,2025-07,7.9,13.9,13.37
S0026,2025-08,6.9,15.7,11.8
S0026,2025-09,7.9,17.6,16.84
S0026,2025-10,7.9,17.6,16.98
S0026,2025-11,6.57,22.7,17.65
S0026,2025-12,7.25,17.4,15.65
S0026,2026-01,7.9,14.2,15.1
S0026,2026-02,7.9,12.2,12.75
S0026,2026-03,6.56,24.1,16.99
S0026,2026-04,7.9,17.2,18.66
S0026,2026-05,7.9,16.1,16.34
S0026,2026-06,7.9,13.3,13.65
S0027,2024-07,0.57,4.9,4.99
S0027,2024-08,0.57,4.7,4.87
S0027,2024-09,0.51,10.5,9.06
S0027,2024-10,0.57,6.7,7.33
S0027,2024-11,0.57,9.0,8.35
S0027,2024-12,0.57,8.3,7.69
S0027,2025-01,0.57,7.4,7.44
S0027,2025-02,0.44,10.6,7.3
S0027,2025-03,0.57,9.3,9.33
S0027,2025-04,0.57,5.5,6.03
S0027,2025-05,0.53,7.8,6.92
S0027,2025-06,0.49,6.8,5.31
S0027,2025-07,0.57,2.6,2.74
S0027,2025-08,0.57,5.2,5.31
S0027,2025-09,0.57,4.9,5.04
S0027,2025-10,0.53,8.2,7.01
S0027,2025-11,0.57,4.9,4.83
S0027,2025-12,0.57,3.9,4.04
S0027,2026-01,0.57,7.1,7.44
S0027,2026-02,0.57,5.8,5.68
S0027,2026-03,0.57,5.8,5.81
S0027,2026-04,0.57,2.2,2.17
S0027,2026-05,0.57,6.2,6.54
S0027,2026-06,0.57,8.2,7.85
S0028,2024-07,1.94,30.4,29.58
S0028,2024-08,1.94,18.7,19.69
S0028,2024-09,1.94,18.2,20.27
S0028,2024-10,1.94,38.3,34.83
S0028,2024-11,1.94,40.4,40.67
S0028,2024-12,1.94,18.4,19.97
S0028,2025-01,1.73,32.9,26.12
S0028,2025-02,1.94,18.9,18.19
S0028,2025-03,1.79,30.7,25.77
S0028,2025-04,1.6,34.5,26.63
S0028,2025-05,1.94,40.0,39.94
S0028,2025-06,1.94,37.5,34.54
S0028,2025-07,1.94,22.1,20.99
S0028,2025-08,1.94,11.7,11.63
S0028,2025-09,1.94,39.3,38.24
S0028,2025-10,1.94,28.2,29.52
